constructorStandingsId,raceId,constructorId,points,position,positionText,wins,year,name
27912,1051,210,0.0,10,10,0,2021,Haas F1 Team
27911,1051,3,23.0,8,8,0,2021,Williams
27910,1051,214,137.0,5,5,1,2021,Alpine F1 Team
27909,1051,51,11.0,9,9,0,2021,Alfa Romeo
27908,1051,117,77.0,7,7,0,2021,Aston Martin
27907,1051,213,112.0,6,6,0,2021,AlphaTauri
27906,1051,6,297.5,3,3,0,2021,Ferrari
27905,1051,1,258.0,4,4,1,2021,McLaren
27904,1051,9,541.5,2,2,10,2021,Red Bull
27903,1051,131,546.5,1,1,8,2021,Mercedes
27673,1052,131,41.0,1,1,1,2021,Mercedes
27674,1052,9,28.0,2,2,0,2021,Red Bull
27675,1052,1,18.0,3,3,0,2021,McLaren
27676,1052,6,12.0,4,4,0,2021,Ferrari
27677,1052,213,2.0,5,5,0,2021,AlphaTauri
27678,1052,117,1.0,6,6,0,2021,Aston Martin
27679,1052,51,0.0,7,7,0,2021,Alfa Romeo
27680,1052,214,0.0,8,8,0,2021,Alpine F1 Team
27681,1052,3,0.0,9,9,0,2021,Williams
27682,1052,210,0.0,10,10,0,2021,Haas F1 Team
27711,1053,3,0.0,9,9,0,2021,Williams
27709,1053,51,0.0,8,8,0,2021,Alfa Romeo
27712,1053,210,0.0,10,10,0,2021,Haas F1 Team
27704,1053,9,53.0,2,2,1,2021,Red Bull
27705,1053,1,41.0,3,3,0,2021,McLaren
27710,1053,214,3.0,7,7,0,2021,Alpine F1 Team
27708,1053,117,5.0,6,6,0,2021,Aston Martin
27707,1053,213,8.0,5,5,0,2021,AlphaTauri
27706,1053,6,34.0,4,4,0,2021,Ferrari
27703,1053,131,60.0,1,1,1,2021,Mercedes
27713,1054,131,101.0,1,1,2,2021,Mercedes
27714,1054,9,83.0,2,2,1,2021,Red Bull
27715,1054,1,53.0,3,3,0,2021,McLaren
27716,1054,6,42.0,4,4,0,2021,Ferrari
27717,1054,213,9.0,6,6,0,2021,AlphaTauri
27718,1054,117,5.0,7,7,0,2021,Aston Martin
27719,1054,51,0.0,8,8,0,2021,Alfa Romeo
27720,1054,214,13.0,5,5,0,2021,Alpine F1 Team
27721,1054,3,0.0,9,9,0,2021,Williams
27722,1054,210,0.0,10,10,0,2021,Haas F1 Team
27723,1055,131,141.0,1,1,3,2021,Mercedes
27724,1055,9,112.0,2,2,1,2021,Red Bull
27725,1055,1,65.0,3,3,0,2021,McLaren
27726,1055,6,60.0,4,4,0,2021,Ferrari
27727,1055,213,10.0,6,6,0,2021,AlphaTauri
27728,1055,117,5.0,7,7,0,2021,Aston Martin
27729,1055,51,0.0,8,8,0,2021,Alfa Romeo
27730,1055,214,15.0,5,5,0,2021,Alpine F1 Team
27731,1055,3,0.0,9,9,0,2021,Williams
27732,1055,210,0.0,10,10,0,2021,Haas F1 Team
27733,1056,131,148.0,2,2,3,2021,Mercedes
27734,1056,9,149.0,1,1,2,2021,Red Bull
27735,1056,1,80.0,3,3,0,2021,McLaren
27736,1056,6,78.0,4,4,0,2021,Ferrari
27737,1056,213,18.0,6,6,0,2021,AlphaTauri
27738,1056,117,19.0,5,5,0,2021,Aston Martin
27739,1056,51,1.0,8,8,0,2021,Alfa Romeo
27740,1056,214,17.0,7,7,0,2021,Alpine F1 Team
27741,1056,3,0.0,9,9,0,2021,Williams
27742,1056,210,0.0,10,10,0,2021,Haas F1 Team
27743,1057,131,148.0,2,2,3,2021,Mercedes
27744,1057,9,174.0,1,1,3,2021,Red Bull
27745,1057,1,92.0,4,4,0,2021,McLaren
27746,1057,6,94.0,3,3,0,2021,Ferrari
27747,1057,213,39.0,5,5,0,2021,AlphaTauri
27748,1057,117,37.0,6,6,0,2021,Aston Martin
27749,1057,51,2.0,8,8,0,2021,Alfa Romeo
27750,1057,214,25.0,7,7,0,2021,Alpine F1 Team
27751,1057,3,0.0,10,10,0,2021,Williams
27752,1057,210,0.0,9,9,0,2021,Haas F1 Team
27753,1059,131,178.0,2,2,3,2021,Mercedes
27754,1059,9,215.0,1,1,4,2021,Red Bull
27755,1059,1,110.0,3,3,0,2021,McLaren
27756,1059,6,94.0,4,4,0,2021,Ferrari
27757,1059,213,45.0,5,5,0,2021,AlphaTauri
27758,1059,117,40.0,6,6,0,2021,Aston Martin
27759,1059,51,2.0,8,8,0,2021,Alfa Romeo
27760,1059,214,29.0,7,7,0,2021,Alpine F1 Team
27761,1059,3,0.0,9,9,0,2021,Williams
27762,1059,210,0.0,10,10,0,2021,Haas F1 Team
27763,1058,131,212.0,2,2,3,2021,Mercedes
27764,1058,9,252.0,1,1,5,2021,Red Bull
27765,1058,1,120.0,3,3,0,2021,McLaren
27766,1058,6,108.0,4,4,0,2021,Ferrari
27767,1058,213,46.0,5,5,0,2021,AlphaTauri
27768,1058,117,44.0,6,6,0,2021,Aston Martin
27769,1058,51,2.0,8,8,0,2021,Alfa Romeo
27770,1058,214,31.0,7,7,0,2021,Alpine F1 Team
27771,1058,3,0.0,9,9,0,2021,Williams
27772,1058,210,0.0,10,10,0,2021,Haas F1 Team
27792,1060,210,0.0,10,10,0,2021,Haas F1 Team
27787,1060,213,48.0,5,5,0,2021,AlphaTauri
27786,1060,6,122.0,4,4,0,2021,Ferrari
27791,1060,3,0.0,9,9,0,2021,Williams
27790,1060,214,32.0,7,7,0,2021,Alpine F1 Team
27789,1060,51,2.0,8,8,0,2021,Alfa Romeo
27788,1060,117,44.0,6,6,0,2021,Aston Martin
27785,1060,1,141.0,3,3,0,2021,McLaren
27784,1060,9,286.0,1,1,6,2021,Red Bull
27783,1060,131,242.0,2,2,3,2021,Mercedes
27793,1061,131,285.0,2,2,4,2021,Mercedes
27794,1061,9,289.0,1,1,6,2021,Red Bull
27795,1061,1,163.0,3,3,0,2021,McLaren
27796,1061,6,148.0,4,4,0,2021,Ferrari
27797,1061,213,49.0,5,5,0,2021,AlphaTauri
27798,1061,117,48.0,6,6,0,2021,Aston Martin
27799,1061,51,2.0,8,8,0,2021,Alfa Romeo
27800,1061,214,40.0,7,7,0,2021,Alpine F1 Team
27801,1061,3,0.0,9,9,0,2021,Williams
27802,1061,210,0.0,10,10,0,2021,Haas F1 Team
27820,1062,214,77.0,5,5,1,2021,Alpine F1 Team
27819,1062,51,3.0,9,9,0,2021,Alfa Romeo
27818,1062,117,48.0,7,7,0,2021,Aston Martin
27817,1062,213,68.0,6,6,0,2021,AlphaTauri
27815,1062,1,163.0,4,4,0,2021,McLaren
27822,1062,210,0.0,10,10,0,2021,Haas F1 Team
27821,1062,3,10.0,8,8,0,2021,Williams
27816,1062,6,163.0,3,3,0,2021,Ferrari
27814,1062,9,291.0,2,2,6,2021,Red Bull
27813,1062,131,303.0,1,1,4,2021,Mercedes
27823,1063,131,310.5,1,1,4,2021,Mercedes
27824,1063,9,303.5,2,2,7,2021,Red Bull
27825,1063,1,169.0,3,3,0,2021,McLaren
27826,1063,6,165.5,4,4,0,2021,Ferrari
27827,1063,213,72.0,6,6,0,2021,AlphaTauri
27828,1063,117,53.0,7,7,0,2021,Aston Martin
27829,1063,51,3.0,9,9,0,2021,Alfa Romeo
27830,1063,214,80.0,5,5,1,2021,Alpine F1 Team
27831,1063,3,20.0,8,8,0,2021,Williams
27832,1063,210,0.0,10,10,0,2021,Haas F1 Team
27833,1064,131,344.5,1,1,4,2021,Mercedes
27834,1064,9,332.5,2,2,8,2021,Red Bull
27835,1064,1,170.0,4,4,0,2021,McLaren
27836,1064,6,181.5,3,3,0,2021,Ferrari
27837,1064,213,84.0,6,6,0,2021,AlphaTauri
27838,1064,117,53.0,7,7,0,2021,Aston Martin
27839,1064,51,3.0,9,9,0,2021,Alfa Romeo
27840,1064,214,90.0,5,5,1,2021,Alpine F1 Team
27841,1064,3,20.0,8,8,0,2021,Williams
27842,1064,210,0.0,10,10,0,2021,Haas F1 Team
27843,1065,131,362.5,1,1,4,2021,Mercedes
27844,1065,9,344.5,2,2,8,2021,Red Bull
27845,1065,1,215.0,3,3,1,2021,McLaren
27846,1065,6,201.5,4,4,0,2021,Ferrari
27847,1065,213,84.0,6,6,0,2021,AlphaTauri
27848,1065,117,59.0,7,7,0,2021,Aston Martin
27849,1065,51,3.0,9,9,0,2021,Alfa Romeo
27850,1065,214,95.0,5,5,1,2021,Alpine F1 Team
27851,1065,3,22.0,8,8,0,2021,Williams
27852,1065,210,0.0,10,10,0,2021,Haas F1 Team
27853,1066,131,397.5,1,1,5,2021,Mercedes
27854,1066,9,364.5,2,2,8,2021,Red Bull
27855,1066,1,234.0,3,3,1,2021,McLaren
27856,1066,6,216.5,4,4,0,2021,Ferrari
27857,1066,213,84.0,6,6,0,2021,AlphaTauri
27858,1066,117,59.0,7,7,0,2021,Aston Martin
27859,1066,51,7.0,9,9,0,2021,Alfa Romeo
27860,1066,214,103.0,5,5,1,2021,Alpine F1 Team
27861,1066,3,23.0,8,8,0,2021,Williams
27862,1066,210,0.0,10,10,0,2021,Haas F1 Team
27863,1067,131,433.5,1,1,6,2021,Mercedes
27864,1067,9,397.5,2,2,8,2021,Red Bull
27865,1067,1,240.0,3,3,1,2021,McLaren
27866,1067,6,232.5,4,4,0,2021,Ferrari
27867,1067,213,92.0,6,6,0,2021,AlphaTauri
27868,1067,117,61.0,7,7,0,2021,Aston Martin
27869,1067,51,7.0,9,9,0,2021,Alfa Romeo
27870,1067,214,104.0,5,5,1,2021,Alpine F1 Team
27871,1067,3,23.0,8,8,0,2021,Williams
27872,1067,210,0.0,10,10,0,2021,Haas F1 Team
27873,1069,131,460.5,1,1,6,2021,Mercedes
27874,1069,9,437.5,2,2,9,2021,Red Bull
27875,1069,1,254.0,3,3,1,2021,McLaren
27876,1069,6,250.5,4,4,0,2021,Ferrari
27877,1069,213,94.0,6,6,0,2021,AlphaTauri
27878,1069,117,62.0,7,7,0,2021,Aston Martin
27879,1069,51,7.0,9,9,0,2021,Alfa Romeo
27880,1069,214,104.0,5,5,1,2021,Alpine F1 Team
27881,1069,3,23.0,8,8,0,2021,Williams
27882,1069,210,0.0,10,10,0,2021,Haas F1 Team
27883,1070,131,478.5,1,1,6,2021,Mercedes
27884,1070,9,477.5,2,2,10,2021,Red Bull
27885,1070,1,255.0,4,4,1,2021,McLaren
27886,1070,6,268.5,3,3,0,2021,Ferrari
27887,1070,213,106.0,6,6,0,2021,AlphaTauri
27888,1070,117,68.0,7,7,0,2021,Aston Martin
27889,1070,51,11.0,9,9,0,2021,Alfa Romeo
27890,1070,214,106.0,5,5,1,2021,Alpine F1 Team
27891,1070,3,23.0,8,8,0,2021,Williams
27892,1070,210,0.0,10,10,0,2021,Haas F1 Team
27893,1071,131,521.5,1,1,7,2021,Mercedes
27894,1071,9,510.5,2,2,10,2021,Red Bull
27895,1071,1,256.0,4,4,1,2021,McLaren
27896,1071,6,287.5,3,3,0,2021,Ferrari
27897,1071,213,112.0,6,6,0,2021,AlphaTauri
27898,1071,117,68.0,7,7,0,2021,Aston Martin
27899,1071,51,11.0,9,9,0,2021,Alfa Romeo
27900,1071,214,112.0,5,5,1,2021,Alpine F1 Team
27901,1071,3,23.0,8,8,0,2021,Williams
27902,1071,210,0.0,10,10,0,2021,Haas F1 Team
27913,1072,131,587.5,1,1,9,2021,Mercedes
27914,1072,9,559.5,2,2,10,2021,Red Bull
27915,1072,1,269.0,4,4,1,2021,McLaren
